Repo,Language,Last Updated,GitHub Org,Local,Updated,Status,Live URL,Deployment Platform,PWA,Framework,Styling,Backend,Database,Blockchain,Wallet Integration,Has Tests,Has CI/CD,Documentation,README Quality,Resume Worthy,Featured Project,Key Tags,Demo Ready,Project Type,Archive Candidate,Notes,Stars,Forks,Watchers,Open Issues,Size (KB),Created At,Pushed At,Description,Homepage,Full Name,Primary Language,Language Breakdown,Topics,Is Fork,Archived,Disabled,Private,Visibility,Has Pages,Has Issues,Has Projects,Has Wiki,Has Downloads,Default Branch,License,License Name,HTML URL,Clone URL,Git URL,SSH URL,Subscribers,Network Count,Contributors Count,Releases Count,Latest Release Date,Social Preview URL,README URL,README Size (bytes),README Name,Has README,Latest Release Tag,Latest Release Name,README Path,Latest Commit Message,Latest Commit Date,Latest Commit Author,OG Title,OG Description,OG Image,OG Type,OG URL,OG Site Name,Favicon
video-tiling,Python,2026-01-02T02:13:08Z,whaleen,yes,,active,,,,,,none,none,,no,no,basic,basic,yes,no,"Python,Video,Automation",no,tool,no,Video processing automation tool,,0,0,0,0,38,2026-01-01T20:33:36Z,2026-01-02T02:13:05Z,"trim, concatenate, and tile videos using a variety of layouts, audio settings and transition affects. automated ""editor"" processes for making video ""collages"".",,whaleen/video-tiling,Python,Python: 100.0%,,no,no,no,no,public,no,yes,yes,yes,yes,main,,,https://github.com/whaleen/video-tiling,https://github.com/whaleen/video-tiling.git,git://github.com/whaleen/video-tiling.git,git@github.com:whaleen/video-tiling.git,0,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/video-tiling,https://github.com/whaleen/video-tiling/blob/main/README.md,19305,README.md,yes,,,/readmes/whaleen/video-tiling.md,distribution mode: same folder settings for distribution across tiles,2026-01-02T02:13:01Z,whaleen,,,,,,,
bore,TypeScript,2026-01-04T02:17:16Z,boringprotocol,no,,active,,,no,React,Tailwind,Node.js,postgres,Solana,yes,no,no,basic,good,yes,yes,"Web3,Solana,VPN,Chrome",no,app,no,Web3-enabled VPN node management platform,0,0,0,0,1310,2024-11-26T16:36:16Z,2025-07-25T20:28:52Z,"Web3-enabled proxy/VPN node management platform with Solana authentication, Chrome extension, and Vultr cloud integration for decentralized network infrastructure",https://bore.ndao.computer,boringprotocol/bore,TypeScript,"TypeScript: 84.3%, JavaScript: 14.5%, CSS: 0.6%","blockchain,chrome-extension,cloud-infrastructure,daisyui,monorepo,netlify,node-management,postgresql,prisma,proxy,react,solana,tailwindcss,turbo,typescript,vite,vpn,vultr,web3",no,no,no,no,public,no,yes,yes,yes,yes,main,,,https://github.com/boringprotocol/bore,https://github.com/boringprotocol/bore.git,git://github.com/boringprotocol/bore.git,git@github.com:boringprotocol/bore.git,1,0,1+,0,,https://opengraph.githubassets.com/1/boringprotocol/bore,https://github.com/boringprotocol/bore/blob/main/README.md,2459,README.md,yes,,,/readmes/boringprotocol/bore.md,Fix TypeScript error in nodes function - add missing return statements,2025-07-25T20:28:41Z,Joshua Vaage,bore - private path,,,,,,https://bore.ndao.computer/bore.svg
kirby,TypeScript,2026-01-04T00:48:53Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1803,2025-07-14T20:20:11Z,2025-07-15T03:31:05Z,Kirb got a bit too excited at Jupiter Studio,https://kirby-on-studio.netlify.app,whaleen/kirby,TypeScript,"TypeScript: 93.2%, CSS: 4.6%, HTML: 1.7%","solana,jupiter-studio",no,no,no,no,public,no,yes,yes,yes,yes,main,,,https://github.com/whaleen/kirby,https://github.com/whaleen/kirby.git,git://github.com/whaleen/kirby.git,git@github.com:whaleen/kirby.git,0,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/kirby,https://github.com/whaleen/kirby/blob/main/README.md,1818,README.md,yes,,,/readmes/whaleen/kirby.md,...,2025-07-15T03:31:02Z,whaleen,Kirby On Studio - $KIRBY Token | Jupiter Studio,Kirb got a bit too excited at Jupiter Studio. Join the $KIRBY community-driven token project on Studio.,https://kirby-on-studio.netlify.app/og-image.jpg,website,https://kirby-on-studio.netlify.app/,,https://kirby-on-studio.netlify.app/materials/logo.jpg
api-monitor,JavaScript,2025-06-20T16:43:32Z,whaleen,yes,,active,,,no,React,,Node.js,none,none,no,no,no,basic,good,yes,no,"React,Tool,Chrome,Monitoring",no,tool,no,Chrome extension + server + React UI for API monitoring,0,0,0,0,66,2024-12-20T18:17:23Z,2025-06-20T16:43:28Z,"A three-part system for monitoring, storing, and visualizing API/network requests. Includes a Chrome extension, a Node.js server, and a React web interface for real-time API monitoring and analysis.",,whaleen/api-monitor,JavaScript,"JavaScript: 94.3%, CSS: 3.5%, HTML: 2.2%","api-analytics,api-monitor,chrome-extension,data-visualization,http,network-monitor,nodejs,react,real-time,request-logging,response-logging,server,tailwindcss,web-app,web-extension,websocket",no,no,no,no,public,no,yes,yes,yes,yes,master,,,https://github.com/whaleen/api-monitor,https://github.com/whaleen/api-monitor.git,git://github.com/whaleen/api-monitor.git,git@github.com:whaleen/api-monitor.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/api-monitor,https://github.com/whaleen/api-monitor/blob/master/README.md,2308,README.md,yes,,,/readmes/whaleen/api-monitor.md,update package.json,2025-06-20T16:43:25Z,whaleen,,,,,,,
shopify-bootstrap-2,Liquid,2025-06-20,whaleen,,,,,,,,,,,,,,,,,,,,,,,ARCHIVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whaleen,—,2025-05-27,whaleen,,,,,,,,,,,,,,,,,,,,,,,Profile README,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rufas,TypeScript,2025-05-22,whaleen,,,,,,,,,,,,,,,,,,,,,,,ARCHIVED - AI context tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rufasDB,TypeScript,2024-12-31T16:46:16Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4631,2024-12-31T11:16:55Z,2024-12-31T16:46:13Z,"RufasDB is a lightweight, flat-file database with a Prisma-like interface designed for browser environments. It provides a simple, intuitive ORM (Object-Relational Mapping) using the File System Access API to manage data persistently in web applications.",https://www.npmjs.com/package/rufasdb,whaleen/rufasDB,TypeScript,"TypeScript: 89.4%, JavaScript: 10.6%",,no,no,no,no,public,no,yes,yes,yes,yes,master,MIT,MIT License,https://github.com/whaleen/rufasDB,https://github.com/whaleen/rufasDB.git,git://github.com/whaleen/rufasDB.git,git@github.com:whaleen/rufasDB.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/rufasDB,https://github.com/whaleen/rufasDB/blob/master/README.md,3024,README.md,yes,,,/readmes/whaleen/rufasDB.md,"docs+issues: add project vision and track major limitations

- Add vision.md explaining browser-based DB concept and limitations
- Create issues/ dir tracking relationships and transactions as major features
- Tag source files by category (core/cli/config/doc)
- Update README with clearer limitations section
- No code changes, focusing on project direction and documentation",2024-12-31T16:46:06Z,whaleen,,,,,,,
ephemeral-text,JavaScript,2024-12-18T02:26:53Z,whaleen,yes,,active,,,no,,,none,none,none,no,no,no,basic,basic,no,no,"Tool,macOS",no,app,no,TextEdit alternative for macOS that doesn't save files,0,0,0,0,464,2024-12-18T02:22:14Z,2024-12-18T02:26:49Z,"textEdit alternative for Mac OS that doesn't save files, and ""doesn't ask any questions"".",,whaleen/ephemeral-text,JavaScript,"JavaScript: 45.4%, CSS: 35.8%, HTML: 18.7%",,no,no,no,yes,private,no,yes,yes,no,yes,main,,,https://github.com/whaleen/ephemeral-text,https://github.com/whaleen/ephemeral-text.git,git://github.com/whaleen/ephemeral-text.git,git@github.com:whaleen/ephemeral-text.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/ephemeral-text,https://github.com/whaleen/ephemeral-text/blob/main/README.md,4908,README.md,yes,,,/readmes/whaleen/ephemeral-text.md,chore: update README.md,2024-12-18T02:26:45Z,whaleen,,,,,,,
astrds,TypeScript,2025-06-19T22:18:57Z,whaleen,no,,active,,,no,React,,Node.js,none,Solana,yes,no,no,basic,good,yes,yes,"Web3,Solana,Game",yes,game,no,Web3 Asteroids remake with Phantom wallet,0,0,0,0,58253,2024-11-10T07:24:02Z,2024-11-26T02:15:19Z,Web3-enabled remake of the classic Asteroids arcade game with Solana blockchain integration and Phantom wallet authentication,https://astrds.ndao.computer,whaleen/astrds,TypeScript,"TypeScript: 92.1%, JavaScript: 7.5%, CSS: 0.3%","arcade,asteroids,blockchain,canvas,game,netlify,phantom-wallet,react,serverless,solana,typescript,web3",no,no,no,no,public,no,yes,yes,yes,yes,main,,,https://github.com/whaleen/astrds,https://github.com/whaleen/astrds.git,git://github.com/whaleen/astrds.git,git@github.com:whaleen/astrds.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/astrds,https://github.com/whaleen/astrds/blob/main/README.md,4344,README.md,yes,,,/readmes/whaleen/astrds.md,...,2024-11-26T02:15:14Z,whaleen,ASTRDS,,,,,,https://astrds.ndao.computer/favicon.svg
